Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Type_of_vehicle,Area_accident_occured,Road_surface_type,Road_surface_conditions,Weather_conditions,Light_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Owner_of_vehicle,Service_year_of_vehicle,Fitness_of_casuality,Pedestrian_movement,Casualty_severity_label
14:45:00,Sunday,31-50,Male,5-10yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,3,3,Reversing,Female,18-30,3,No priority to vehicle,Slight Injury,Owner,Above 10yr,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
17:22:00,Tuesday,Over 51,Male,5-10yr,Stationwagen,Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,3,3,Going straight,Male,31-50,3,Moving Backward,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
17:22:00,Tuesday,Under 18,Male,Below 1yr,Automobile,Hospital areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,3,3,Other,No Casualty,No Casualty,No Casualty,Changing lane to the left,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,No Casualty
10:58:00,Tuesday,31-50,Female,5-10yr,Public (12 seats),Industrial areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Collision with roadside objects,2,2,Other,No Casualty,No Casualty,No Casualty,Overturning,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
10:58:00,Tuesday,Over 51,Female,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,2,Other,Male,18-30,3,No distancing,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
14:57:00,Monday,31-50,Male,5-10yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,2,Stopping,No Casualty,No Casualty,No Casualty,Driving carelessly,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
14:57:00,Monday,Over 51,Male,Above 10yr,Lorry (41-100Q),Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,1,Other,Female,Over 51,3,No distancing,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
14:57:00,Monday,18-30,Male,Above 10yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,3,2,Other,No Casualty,No Casualty,No Casualty,Changing lane to the left,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
13:10:00,Friday,18-30,Male,Above 10yr,Public (> 45 seats),Residential areas,Other,Dry,Normal,Daylight,Collision with pedestrians,3,2,Other,Male,31-50,3,No priority to pedestrian,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Slight Injury
13:10:00,Friday,18-30,Female,Above 10yr,Automobile,School areas,Asphalt roads,Dry,Normal,Daylight,Collision with pedestrians,3,2,Going straight,Female,Under 18,3,No distancing,Slight Injury,Owner,Unknown,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
