Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Type_of_vehicle,Area_accident_occured,Road_surface_type,Road_surface_conditions,Weather_conditions,Light_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Owner_of_vehicle,Service_year_of_vehicle,Fitness_of_casuality,Pedestrian_movement,Casualty_severity_label
17:02:00,Monday,18-30,Male,1-2yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside-parked vehicles,2,2,Going straight,No Casualty,No Casualty,No Casualty,Moving Backward,Slight Injury,Owner,Above 10yr,No Casualty,Not a Pedestrian,No Casualty
17:02:00,Monday,31-50,Male,Above 10yr,Public (> 45 seats),Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,2,Going straight,No Casualty,No Casualty,No Casualty,Overtaking,Slight Injury,Owner,5-10yrs,No Casualty,Not a Pedestrian,No Casualty
17:02:00,Monday,18-30,Male,1-2yr,Lorry (41-100Q),Recreational areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside objects,2,2,Going straight,Male,31-50,3,Changing lane to the left,Serious Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Slight Injury
01:06:00,Sunday,18-30,Male,5-10yr,Public (> 45 seats),Office areas,Earth roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,2,Going straight,Female,18-30,3,Changing lane to the right,Slight Injury,Governmental,Unknown,Normal,Not a Pedestrian,Slight Injury
01:06:00,Sunday,18-30,Male,2-5yr,Automobile,Industrial areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,2,Going straight,No Casualty,No Casualty,No Casualty,Overtaking,Slight Injury,Owner,5-10yrs,No Casualty,Not a Pedestrian,No Casualty
14:15:00,Friday,31-50,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,1,U-Turn,Male,31-50,3,Overloading,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
17:30:00,Wednesday,18-30,Male,2-5yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,1,Moving Backward,Female,18-30,3,Other,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
17:20:00,Friday,18-30,Male,2-5yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,U-Turn,No Casualty,No Casualty,No Casualty,No priority to vehicle,Slight Injury,Governmental,Above 10yr,Normal,Not a Pedestrian,No Casualty
17:20:00,Friday,18-30,Male,Above 10yr,Lorry (41-100Q),Industrial areas,Earth roads,Dry,Normal,Daylight,Collision with roadside-parked vehicles,2,1,Going straight,Male,Under 18,3,Changing lane to the right,Slight Injury,Owner,1-2yr,Normal,Crossing from driver's nearside,Slight Injury
17:20:00,Friday,18-30,Male,1-2yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside-parked vehicles,2,1,U-Turn,Male,18-30,3,Moving Backward,Serious Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
14:40:00,Friday,18-30,Male,1-2yr,Public (13-45 seats),Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,1,Turnover,No Casualty,No Casualty,No Casualty,Changing lane to the left,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
14:40:00,Friday,31-50,Male,5-10yr,Automobile,Office areas,Earth roads,Dry,Normal,Daylight,Collision with animals,2,1,Going straight,Male,18-30,3,No priority to pedestrian,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
17:45:00,Thursday,18-30,Male,1-2yr,Public (> 45 seats),Office areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,2,Going straight,No Casualty,No Casualty,No Casualty,No distancing,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,No Casualty
17:45:00,Thursday,31-50,Male,5-10yr,Lorry (41-100Q),Office areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,2,Waiting to go,No Casualty,No Casualty,No Casualty,No priority to vehicle,Slight Injury,Owner,Above 10yr,Normal,Not a Pedestrian,No Casualty
17:45:00,Thursday,31-50,Male,Above 10yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,2,Going straight,Female,18-30,3,No distancing,Serious Injury,Owner,1-2yr,Normal,Not a Pedestrian,Slight Injury
22:45:00,Monday,18-30,Female,Above 10yr,Lorry (11-40Q),Office areas,Asphalt roads,Wet or damp,Rain,Darkness - lights lit,Collision with animals,2,3,Going straight,No Casualty,No Casualty,No Casualty,No distancing,Serious Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
22:45:00,Monday,18-30,Male,5-10yr,Public (13-45 seats),Office areas,Asphalt roads,Wet or damp,Rain,Darkness - lights lit,Collision with animals,2,3,Going straight,No Casualty,No Casualty,No Casualty,Moving Backward,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
22:45:00,Monday,18-30,Male,2-5yr,Public (13-45 seats),Office areas,Asphalt roads,Wet or damp,Rain,Darkness - lights lit,Collision with animals,2,3,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
22:45:00,Monday,18-30,Male,2-5yr,Automobile,Residential areas,Asphalt roads,Wet or damp,Rain,Darkness - lights lit,Collision with animals,2,3,Moving Backward,No Casualty,No Casualty,No Casualty,No priority to pedestrian,Slight Injury,Owner,Above 10yr,Normal,Not a Pedestrian,No Casualty
08:20:00,Tuesday,18-30,Male,Below 1yr,Long lorry,Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,1,Going straight,Male,Under 18,3,Moving Backward,Serious Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
08:20:00,Tuesday,Under 18,Male,2-5yr,Lorry (41-100Q),Other,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,1,Going straight,No Casualty,No Casualty,No Casualty,Getting off the vehicle improperly,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
15:10:00,Thursday,18-30,Male,2-5yr,Lorry (11-40Q),Church areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,1,1,Moving Backward,Male,18-30,3,Overtaking,Serious Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
12:11:00,Thursday,18-30,Male,5-10yr,Lorry (41-100Q),Recreational areas,Asphalt roads,Dry,Normal,Daylight,Other,2,1,Getting off,Female,31-50,3,Overloading,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
12:11:00,Thursday,31-50,Male,Above 10yr,Public (12 seats),Industrial areas,Asphalt roads,Dry,Normal,Daylight,Rollover,2,1,Reversing,Male,18-30,3,Changing lane to the right,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
18:36:00,Wednesday,18-30,Male,5-10yr,Automobile,Residential areas,Asphalt roads with some distress,Dry,Normal,Daylight,Collision with animals,2,3,Turnover,No Casualty,No Casualty,No Casualty,Improper parking,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
18:36:00,Wednesday,18-30,Male,2-5yr,Taxi,Residential areas,Asphalt roads,Dry,Normal,Daylight,Rollover,2,3,Going straight,Female,31-50,3,Other,Slight Injury,Owner,Above 10yr,Normal,Not a Pedestrian,Slight Injury
18:36:00,Wednesday,18-30,Male,5-10yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,3,Going straight,Male,Under 18,3,Changing lane to the left,Slight Injury,Owner,2-5yrs,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
14:35:00,Friday,18-30,Male,2-5yr,Automobile,Market areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,1,1,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,No Casualty
12:25:00,Tuesday,Over 51,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,31-50,3,No priority to pedestrian,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Slight Injury
12:25:00,Tuesday,18-30,Male,1-2yr,Lorry (41-100Q),Industrial areas,Asphalt roads,Dry,Normal,Daylight,Fall from vehicles,2,1,Going straight,Male,18-30,2,Overspeed,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Serious Injury
15:30:00,Monday,18-30,Male,2-5yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside-parked vehicles,1,1,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the left,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
18:10:00,Thursday,18-30,Male,Above 10yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside-parked vehicles,1,1,Moving Backward,Male,18-30,3,No priority to vehicle,Slight Injury,Governmental,Below 1yr,No Casualty,Not a Pedestrian,Slight Injury
15:25:00,Thursday,18-30,Male,Below 1yr,Lorry (41-100Q),Other,Asphalt roads,Dry,Normal,Daylight,Rollover,2,1,Reversing,Female,18-30,3,Changing lane to the right,Slight Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
15:25:00,Thursday,31-50,Male,2-5yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,1,Turnover,No Casualty,No Casualty,No Casualty,No distancing,Slight Injury,Governmental,Unknown,Normal,Not a Pedestrian,No Casualty
13:57:00,Friday,Over 51,Male,Below 1yr,Automobile,Rural village areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,1,Going straight,Female,18-30,3,No priority to pedestrian,Slight Injury,Owner,1-2yr,Normal,Not a Pedestrian,Slight Injury
13:57:00,Friday,18-30,Male,5-10yr,Automobile,Rural village areas,Asphalt roads,Dry,Normal,Daylight,Fall from vehicles,2,1,Going straight,Male,Under 18,3,No distancing,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
20:30:00,Friday,18-30,Male,1-2yr,Taxi,Office areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Collision with roadside-parked vehicles,2,2,Going straight,No Casualty,No Casualty,No Casualty,No priority to vehicle,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
20:30:00,Friday,Over 51,Male,Below 1yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Collision with animals,2,2,Going straight,Female,18-30,2,Other,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Serious Injury
20:30:00,Friday,Over 51,Male,5-10yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Collision with animals,2,2,Going straight,No Casualty,No Casualty,No Casualty,Driving carelessly,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
16:30:00,Sunday,Over 51,Male,Below 1yr,Automobile,Outside rural areas,Asphalt roads,Dry,Normal,Daylight,Collision with pedestrians,2,1,Going straight,Female,18-30,3,Changing lane to the left,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
16:30:00,Sunday,31-50,Male,Below 1yr,Pick up upto 10Q,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Driving carelessly,Slight Injury,Owner,Above 10yr,Normal,Not a Pedestrian,No Casualty
21:50:00,Sunday,31-50,Male,5-10yr,Automobile,Church areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,2,Going straight,Female,31-50,3,Changing lane to the left,Slight Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
21:50:00,Sunday,18-30,Male,2-5yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Collision with pedestrians,2,2,Going straight,Male,18-30,3,No priority to vehicle,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Slight Injury
09:12:00,Wednesday,18-30,Male,Above 10yr,Public (12 seats),Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,Under 18,3,No distancing,Slight Injury,Owner,Unknown,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
09:12:00,Wednesday,18-30,Male,Above 10yr,Public (13-45 seats),Office areas,Gravel roads,Dry,Normal,Daylight,Collision with roadside objects,2,1,Going straight,Male,Under 18,3,Changing lane to the right,Slight Injury,Governmental,Unknown,No Casualty,Not a Pedestrian,Slight Injury
14:40:00,Friday,31-50,Male,5-10yr,Lorry (11-40Q),Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,1,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Serious Injury,Owner,2-5yrs,Normal,Not a Pedestrian,No Casualty
10:36:00,Friday,31-50,Male,1-2yr,Stationwagen,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Overspeed,Slight Injury,Owner,2-5yrs,No Casualty,Not a Pedestrian,No Casualty
10:36:00,Friday,31-50,Male,Below 1yr,Ridden horse,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Female,18-30,3,No distancing,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
18:19:00,Monday,18-30,Male,Below 1yr,Stationwagen,Other,Asphalt roads,Dry,Normal,Daylight,Rollover,2,1,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
18:19:00,Monday,18-30,Male,2-5yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,2,Changing lane to the left,Slight Injury,Owner,Below 1yr,No Casualty,Not a Pedestrian,Serious Injury
19:12:00,Tuesday,18-30,Male,1-2yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Female,Over 51,3,Getting off the vehicle improperly,Slight Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
19:12:00,Tuesday,31-50,Male,5-10yr,Other,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Other,Slight Injury,Governmental,5-10yrs,Normal,Not a Pedestrian,No Casualty
11:38:00,Friday,Over 51,Male,2-5yr,Taxi,Other,Asphalt roads,Dry,Normal,Daylight,Collision with pedestrians,2,3,Going straight,Male,31-50,3,Other,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
11:38:00,Friday,31-50,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,3,Going straight,Male,31-50,3,No distancing,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
11:38:00,Friday,31-50,Male,Above 10yr,Stationwagen,Church areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside objects,2,3,Going straight,No Casualty,No Casualty,No Casualty,No priority to vehicle,Slight Injury,Owner,2-5yrs,No Casualty,Not a Pedestrian,No Casualty
11:38:00,Friday,18-30,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,3,Going straight,Female,18-30,3,Overtaking,Slight Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
13:30:00,Thursday,18-30,Male,5-10yr,Public (12 seats),Industrial areas,Asphalt roads,Dry,Normal,Daylight,Rollover,2,1,Going straight,Male,31-50,3,No priority to pedestrian,Slight Injury,Organization,2-5yrs,No Casualty,Not a Pedestrian,Slight Injury
13:30:00,Thursday,31-50,Male,5-10yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,No distancing,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
12:39:00,Tuesday,18-30,Male,Above 10yr,Automobile,Other,Asphalt roads,Wet or damp,Rain,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Slight Injury,Governmental,Above 10yr,Normal,Not a Pedestrian,No Casualty
12:39:00,Tuesday,Over 51,Male,1-2yr,Lorry (41-100Q),Office areas,Gravel roads,Wet or damp,Rain,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Driving carelessly,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
12:30:00,Friday,18-30,Male,2-5yr,Automobile,Industrial areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
12:30:00,Friday,31-50,Male,1-2yr,Public (> 45 seats),Industrial areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Overtaking,Slight Injury,Owner,1-2yr,Normal,Not a Pedestrian,No Casualty
16:55:00,Sunday,31-50,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Collision with roadside objects,2,1,Going straight,Male,Under 18,3,Other,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
16:55:00,Sunday,31-50,Male,5-10yr,Public (12 seats),Hospital areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Driving to the left,Slight Injury,Organization,Above 10yr,Normal,Not a Pedestrian,No Casualty
18:25:00,Monday,18-30,Female,5-10yr,Public (12 seats),Office areas,Earth roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Female,Over 51,3,Overspeed,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
18:25:00,Monday,31-50,Male,Above 10yr,Automobile,Church areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside objects,2,1,Going straight,Female,31-50,3,No distancing,Slight Injury,Owner,2-5yrs,No Casualty,Not a Pedestrian,Slight Injury
13:01:00,Thursday,31-50,Male,2-5yr,Automobile,Hospital areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside objects,2,1,Going straight,Female,31-50,3,Changing lane to the right,Slight Injury,Organization,5-10yrs,No Casualty,Not a Pedestrian,Slight Injury
13:01:00,Thursday,18-30,Male,Above 10yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,No distancing,Slight Injury,Owner,Above 10yr,Normal,Not a Pedestrian,Slight Injury
13:45:00,Wednesday,18-30,Male,2-5yr,Lorry (41-100Q),Other,Gravel roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Other,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,No Casualty
13:45:00,Wednesday,31-50,Male,5-10yr,Public (12 seats),Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,No priority to vehicle,Slight Injury,Owner,1-2yr,Normal,Not a Pedestrian,Slight Injury
18:45:00,Monday,18-30,Male,5-10yr,Lorry (11-40Q),Office areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,1,Reversing,Male,18-30,3,Changing lane to the left,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
18:45:00,Monday,31-50,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Darkness - lights lit,Collision with roadside objects,2,1,Going straight,No Casualty,No Casualty,No Casualty,No priority to pedestrian,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
11:02:00,Thursday,31-50,Male,5-10yr,Automobile,Office areas,Earth roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,4,Going straight,Male,18-30,3,Overtaking,Slight Injury,Owner,1-2yr,Normal,Not a Pedestrian,Slight Injury
11:02:00,Thursday,31-50,Male,Above 10yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,4,Going straight,Male,Over 51,3,Driving carelessly,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
11:02:00,Thursday,31-50,Male,Below 1yr,Bajaj,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,4,Going straight,No Casualty,No Casualty,No Casualty,No priority to vehicle,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
11:02:00,Thursday,31-50,Male,5-10yr,Public (12 seats),Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,4,Going straight,Female,31-50,3,No priority to pedestrian,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
15:55:00,Tuesday,Over 51,Male,1-2yr,Lorry (11-40Q),Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,1,Turnover,Male,31-50,3,Changing lane to the right,Serious Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
15:00:00,Wednesday,Over 51,Male,5-10yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,1,Going straight,No Casualty,No Casualty,No Casualty,Driving carelessly,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
20:00:00,Sunday,31-50,Male,Above 10yr,Automobile,Other,Earth roads,Dry,Normal,Darkness - lights lit,Collision with roadside objects,2,1,Going straight,Female,18-30,3,Changing lane to the right,Slight Injury,Owner,5-10yrs,No Casualty,Not a Pedestrian,Slight Injury
20:00:00,Sunday,Under 18,Male,2-5yr,Automobile,Church areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
18:48:00,Wednesday,31-50,Male,1-2yr,Lorry (11-40Q),Industrial areas,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Collision with pedestrians,2,1,Going straight,Female,31-50,3,Changing lane to the left,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
18:48:00,Wednesday,31-50,Male,1-2yr,Lorry (41-100Q),Office areas,Asphalt roads,Wet or damp,Normal,Darkness - lights lit,Collision with roadside objects,2,1,Going straight,Male,18-30,2,Overturning,Serious Injury,Owner,1-2yr,No Casualty,Not a Pedestrian,Serious Injury
15:55:00,Sunday,Over 51,Male,2-5yr,Pick up upto 10Q,Church areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside objects,1,2,Going straight,No Casualty,No Casualty,No Casualty,Driving carelessly,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
15:55:00,Sunday,Over 51,Male,5-10yr,Lorry (11-40Q),Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,2,Turnover,Female,Under 18,3,No distancing,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
23:25:00,Wednesday,Over 51,Male,2-5yr,Stationwagen,Office areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Rollover,2,3,Going straight,Female,18-30,3,Driving carelessly,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Slight Injury
23:25:00,Wednesday,Over 51,Male,1-2yr,Other,Residential areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,3,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the left,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
23:25:00,Wednesday,31-50,Male,5-10yr,Other,Office areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,3,Reversing,No Casualty,No Casualty,No Casualty,No priority to vehicle,Slight Injury,Owner,5-10yrs,Normal,Not a Pedestrian,No Casualty
07:40:00,Monday,18-30,Male,Below 1yr,Lorry (11-40Q),Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Female,31-50,3,Changing lane to the right,Serious Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
07:40:00,Monday,18-30,Male,2-5yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,No distancing,Serious Injury,Owner,2-5yrs,Normal,Not a Pedestrian,No Casualty
15:17:00,Sunday,31-50,Male,5-10yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Reversing,Male,18-30,3,Moving Backward,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
15:17:00,Sunday,31-50,Male,Above 10yr,Lorry (41-100Q),Other,Earth roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,31-50,3,Moving Backward,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
15:50:00,Monday,18-30,Male,2-5yr,Other,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Moving Backward,No Casualty,No Casualty,No Casualty,No distancing,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
15:50:00,Monday,18-30,Male,Above 10yr,Lorry (41-100Q),Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Moving Backward,No Casualty,No Casualty,No Casualty,No distancing,Slight Injury,Owner,Above 10yr,Normal,Not a Pedestrian,No Casualty
09:45:00,Sunday,Over 51,Male,1-2yr,Automobile,Church areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside objects,2,1,Going straight,Male,18-30,3,No distancing,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Slight Injury
09:45:00,Sunday,Over 51,Male,5-10yr,Pick up upto 10Q,Church areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,No priority to pedestrian,Slight Injury,Governmental,Unknown,Normal,Not a Pedestrian,No Casualty
17:35:00,Thursday,18-30,Male,2-5yr,Lorry (41-100Q),Residential areas,Other,Dry,Normal,Daylight,Vehicle with vehicle collision,3,1,Going straight,No Casualty,No Casualty,No Casualty,Driving carelessly,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,No Casualty
17:35:00,Thursday,18-30,Male,2-5yr,Public (13-45 seats),Office areas,Gravel roads,Dry,Normal,Daylight,Vehicle with vehicle collision,3,1,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
17:35:00,Thursday,31-50,Male,2-5yr,Long lorry,Office areas,Gravel roads,Dry,Normal,Daylight,Vehicle with vehicle collision,3,1,Going straight,Female,18-30,3,Changing lane to the left,Slight Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
20:50:00,Sunday,18-30,Male,2-5yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Collision with pedestrians,2,1,Going straight,Male,31-50,2,Driving carelessly,Slight Injury,Owner,2-5yrs,No Casualty,Not a Pedestrian,Serious Injury
